Empty aircraft,5118,-0.15,0.00,-0.25,-791.9,0.0,-1274.0,6543.0,46293.1,43498.3,0.0,-3753.0,0.0
Pilot (left),80,2.90,-0.70,0.40,232.0,-56.0,32.0,52.0,685.6,712.0,162.4,-92.8,22.4
Pilot (right),80,2.90,0.70,0.40,232.0,56.0,32.0,52.0,685.6,712.0,-162.4,-92.8,-22.4
Fuel,1100,-2.02,0.00,0.70,-2222.0,0.0,770.0,539.0,5027.4,4488.4,0.0,1555.4,0.0
Personnel (4th row),440,0.04,0.00,0.50,15.6,0.0,220.0,110.0,110.6,0.6,0.0,-7.8,0.0
Personnel (5th row),440,-1.17,0.00,0.50,-514.1,0.0,220.0,110.0,710.7,600.7,0.0,257.0,0.0
Gross weight,7258,-0.42,0.00,0.00,-3048.4,0.0,0.0,7406.0,53513.0,50012.0,0.0,-2134.0,0.0
